SchoolID,School,District,DistID
130,Eagle Creek Elementary School,Estacada SD 108,1930
131,Clackamas River Elementary School,Estacada SD 108,1930
134,Estacada Junior High School,Estacada SD 108,1930
135,Estacada High School,Estacada SD 108,1930
136,John Wetten Elementary School,Gladstone SD 115,1931
137,Walter L Kraxberger Middle School,Gladstone SD 115,1931
138,Gladstone High School,Gladstone SD 115,1931
139,Redland Elementary School,Oregon City SD 62,1928
140,Canby High School,Canby SD 86,1929
141,Sandy High School,Oregon Trail SD 46,1926
142,Molalla High School,Molalla River SD 35,1925
143,Astor Elementary School,Astoria SD 1,1933
144,Astoria Middle School,Astoria SD 1,1933
146,Astoria Senior High School,Astoria SD 1,1933
147,Lewis & Clark Elementary School,Astoria SD 1,1933
150,Broadway Middle School,Seaside SD 10,1935
152,Seaside Heights Elementary School,Seaside SD 10,1935
153,Gearhart Elementary School,Seaside SD 10,1935
154,Seaside High School,Seaside SD 10,1935
156,Warrenton Grade School,Warrenton-Hammond SD 30,1936
157,Warrenton High School,Warrenton-Hammond SD 30,1936
158,Grant Watts Elementary School,Scappoose SD 1J,1944
159,Otto Petersen Elementary School,Scappoose SD 1J,1944
160,Warren Elementary School,Scappoose SD 1J,1944
161,Scappoose Middle School,Scappoose SD 1J,1944
162,Scappoose High School,Scappoose SD 1J,1944
163,Clatskanie Elementary School,Clatskanie SD 6J,1945
166,Hilda Lahti Elementary School,Knappa SD 4,2262
168,Clatskanie Middle/High School,Clatskanie SD 6J,1945
169,Knappa High School,Knappa SD 4,2262
171,Hudson Park Elementary School,Rainier SD 13,1946
174,Rainier Jr/Sr High School,Rainier SD 13,1946
176,Mist Elementary School,Vernonia SD 47J,1947
177,Vernonia Elementary School,Vernonia SD 47J,1947
178,Vernonia High School,Vernonia SD 47J,1947
182,McBride Elementary School,St Helens SD 502,1948
184,St Helens Middle School,St Helens SD 502,1948
185,St Helens High School,St Helens SD 502,1948
189,Lincoln School of Early Learning,Coquille SD 8,1964
191,Coquille Junior Senior High,Coquille SD 8,1964
192,Blossom Gulch Elementary School,Coos Bay SD 9,1965
196,Madison Elementary School,Coos Bay SD 9,1965
197,Millicoma School,Coos Bay SD 9,1965
199,Sunset School,Coos Bay SD 9,1965
201,Marshfield Senior High School,Coos Bay SD 9,1965
204,Hillcrest Elementary School,North Bend SD 13,1966
205,North Bay Elementary School,North Bend SD 13,1966
208,North Bend Middle School,North Bend SD 13,1966
209,North Bend Senior High School,North Bend SD 13,1966
210,Powers Elementary School,Powers SD 31,1967
211,Powers High School,Powers SD 31,1967
214,Myrtle Crest School,Myrtle Point SD 41,1968
215,Myrtle Point High School,Myrtle Point SD 41,1968
216,Harbor Lights Middle School,Bandon SD 54,1969
217,Ocean Crest Elementary School,Bandon SD 54,1969
218,Bandon Senior High School,Bandon SD 54,1969
219,Crooked River Elementary School,Crook County SD,1970
221,Ochoco Elementary School,Crook County SD,1970
222,Paulina School,Crook County SD,1970
223,Powell Butte Community Charter School,Crook County SD,1970
224,Crook County Middle School,Crook County SD,1970
225,Crook County High School,Crook County SD,1970
228,Driftwood Elementary School,Port Orford-Langlois SD 2CJ,1973
229,Pacific High School,Port Orford-Langlois SD 2CJ,1973
231,Riley Creek Elementary School,Central Curry SD 1,1972
235,Azalea Middle School,Brookings-Harbor SD 17C,1974
236,Kalmiopsis Elementary School,Brookings-Harbor SD 17C,1974
237,Brookings-Harbor High School,Brookings-Harbor SD 17C,1974
239,Gold Beach High School,Central Curry SD 1,1972
241,Bear Creek Elementary School,Bend-LaPine Administrative SD 1,1976
242,Cascade Middle School,Bend-LaPine Administrative SD 1,1976
245,LaPine Elementary School,Bend-LaPine Administrative SD 1,1976
246,Juniper Elementary School,Bend-LaPine Administrative SD 1,1976
247,R E Jewell Elementary School,Bend-LaPine Administrative SD 1,1976
