Country,best at,year,detail / notes,source,extras,
Turks and Caicos Islands,-,-,,,,
Tuvalu,-,-,,,,
Uganda,most children,2008,youngest population',http://www.theeastafrican.co.ke/news/-/2558/504754/-/rm3wwdz/-/index.html,,
Ukraine,T-80 tanks,2001,,http://www.china-defense.com/armor/type98-2/type98-2_3.html,,
United Arab Emirates,growing population,2008,(ruling out maldives for size),http://www.nationmaster.com/graph/peo_pop_gro_rat-people-population-growth-rate, carbon footprint ,http://www.nationmaster.com/graph/env_eco_foo-environment-ecological-footprint
United Kingdom,CCTV,2001,,http://www.bbc.co.uk/dna/h2g2/A622487,tea consumption,http://www.nationmaster.com/graph/foo_tea_con-food-tea-consumption
United States,Serial Killers,2008,,http://www.statemaster.com/encyclopedia/List-of-serial-killers-by-number-of-victims,cheese production,http://www.fas.usda.gov/dlp/circular/2005/05-12Dairy/toc.htm
Uruguay,World Cup Wins Per Capita,1930-2006,,http://www.nationmaster.com/graph/spo_wor_cup_tot_win_percap-cup-totals-wins-per-capita,,
Uzbekistan,-,-,,,,
Vanuatu,-,-,,,,
Venezuela,Happiness,2005,,http://www.nationmaster.com/graph/lif_hap_lev_ver_hap-lifestyle-happiness-level-very-happy,,
Vietnam,-,-,,,,
Yemen,Khat Users,2003,,http://en.wikipedia.org/wiki/Khat,,
Zambia,metal exports,2005,,http://www.nationmaster.com/graph/ind_ore_and_met_exp_of_mer_exp-industry-ores-metals-exports-merchandise,,
Zanzibar,-,-,,,,
Zimbabwe,PUblic debt,2008 est.,,https://www.cia.gov/library/publications/the-world-factbook/rankorder/2186rank.html,,
